id,newsletter,title,url,author,published,fetched_at
41,Switching Codes w/Eric Deggans,Jimmy Kimmel's return: Why didn't Disney do this last week?,https://ericdeggans.substack.com/p/jimmy-kimmels-return-why-didnt-disney,Switching Codes w/Eric Deggans,2025-09-24 15:04:59,2025-09-26T18:05:40.043750+00:00
42,Switching Codes w/Eric Deggans,Jimmy Kimmel's fate signals Big Media's capitulation,https://ericdeggans.substack.com/p/jimmy-kimmels-fate-signals-big-medias,Switching Codes w/Eric Deggans,2025-09-18 14:58:56,2025-09-26T18:05:40.050951+00:00
61,The Permanent Problem,The rise and fall of cognitive fitness,https://brinklindsey.substack.com/p/the-rise-and-fall-of-cognitive-fitness,Brink Lindsey,2025-09-17 09:13:03,2025-09-26T18:05:40.422227+00:00
43,Switching Codes w/Eric Deggans,What's up with the lack of diversity among Emmy winners last night?,https://ericdeggans.substack.com/p/what-up-with-the-lack-of-diversity,Switching Codes w/Eric Deggans,2025-09-15 17:52:30,2025-09-26T18:05:40.055438+00:00
44,Switching Codes w/Eric Deggans,Giving political voices control over CBS News won't help the journalism,https://ericdeggans.substack.com/p/giving-political-voices-control-over,Switching Codes w/Eric Deggans,2025-09-11 20:33:04,2025-09-26T18:05:40.059690+00:00
45,Switching Codes w/Eric Deggans,Has Tom Hanks been canceled by conservatives?,https://ericdeggans.substack.com/p/has-tom-hanks-been-canceled-by-conservatives,Switching Codes w/Eric Deggans,2025-09-08 03:59:51,2025-09-26T18:05:40.065081+00:00
46,Switching Codes w/Eric Deggans,The NPR Politics Podcast: Why Trump tries to dominate cultural institutions,https://ericdeggans.substack.com/p/visiting-nprs-politics-podcast-why,Switching Codes w/Eric Deggans,2025-09-02 18:42:57,2025-09-26T18:05:40.070074+00:00
47,Switching Codes w/Eric Deggans,Forgetting Hurricane Katrina's lessons on its 20th anniversary,https://ericdeggans.substack.com/p/forgetting-hurricane-katrinas-lessons,Switching Codes w/Eric Deggans,2025-08-27 18:52:14,2025-09-26T18:05:40.074844+00:00
48,Switching Codes w/Eric Deggans,Why this year's TCA awards bring a tinge of sadness for a disappearing media era,https://ericdeggans.substack.com/p/why-this-years-tca-awards-bring-a,Switching Codes w/Eric Deggans,2025-08-20 19:30:51,2025-09-26T18:05:40.079711+00:00
49,Switching Codes w/Eric Deggans,Why conservative ideologues really wanted to fight over Sydney Sweeney,https://ericdeggans.substack.com/p/why-conservative-ideologues-really,Switching Codes w/Eric Deggans,2025-08-17 23:20:55,2025-09-26T18:05:40.084770+00:00
50,Switching Codes w/Eric Deggans,Just a few questions about this deal between ESPN and the NFL,https://ericdeggans.substack.com/p/just-a-few-questions-about-this-deal,Switching Codes w/Eric Deggans,2025-08-07 03:20:55,2025-09-26T18:05:40.089441+00:00
51,Switching Codes w/Eric Deggans,Hulk Hogan's legacy includes a connection to toxic modern media trends,https://ericdeggans.substack.com/p/hulk-hogans-legacy-includes-a-connection,Switching Codes w/Eric Deggans,2025-08-01 19:16:06,2025-09-26T18:05:40.094207+00:00
